subject,modeldate,party,startdate,enddate,pollster,grade,samplesize,population,weight,influence,multiversions,tracking,approve,disapprove,approve_adjusted,disapprove_adjusted,timestamp,url
Trump,6/3/2020,D,3/4/2020,3/7/2020,SSRS,B/C,411.74,a,.68942088,0,"","",10,84,11.504978,81.885167,06:40:07  3 Jun 2020,"https://cdn.cnn.com/cnn/2020/images/03/09/rel2b.-.trump,.coronavirus.pdf"
Trump,6/3/2020,D,3/6/2020,3/8/2020,Global Strategy Group/GBAO/Navigator Research,"",420,rv,.41402267,0,"","",12,80,13.046462,79.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/03/March-2020-Navigator-Coronavirus-Toplines.pdf
Trump,6/3/2020,D,3/5/2020,3/8/2020,Quinnipiac University,B+,453.96,rv,.81268833,0,"","",10,83,12.268665,80.536996,06:40:07  3 Jun 2020,https://poll.qu.edu/national/release-detail?ReleaseID=3657
Trump,6/3/2020,D,3/6/2020,3/9/2020,Morning Consult,B/C,809,a,.20756434,0,"","",16,72,14.828756,75.833298,06:40:07  3 Jun 2020,https://morningconsult.com/wp-content/uploads/2020/03/200326_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf
Trump,6/3/2020,D,3/8/2020,3/10/2020,YouGov,B,533,a,.26373344,0,"","",12,78,11.799096,79.530578,06:40:07  3 Jun 2020,https://docs.cdn.yougov.com/vrbl9mmctz/econTabReport.pdf
Trump,6/3/2020,D,3/8/2020,3/9/2020,Harris Insights & Analytics,C,370,rv,.17404269,0,"","",21,79,16.379196,81.096326,06:40:07  3 Jun 2020,https://thehill.com/hilltv/what-americas-thinking/487327-poll-trump-sees-high-marks-on-the-economy-low-marks-on-handling
Trump,6/3/2020,D,3/10/2020,3/11/2020,YouGov,B,568,a,.26809834,0,"","",18,74,17.799096,75.530578,06:40:07  3 Jun 2020,https://docs.cdn.yougov.com/ap1p15w9nv/20200311_yahoo_coronavirus_crosstabs.pdf
Trump,6/3/2020,D,3/10/2020,3/12/2020,YouGov,B,328,a,.15481735,0,"","",16,78,15.799096,79.530578,06:40:07  3 Jun 2020,https://big.assets.huffingtonpost.com/athena/files/2020/03/17/5e70fe10c5b63c3b6485b422.pdf
Trump,6/3/2020,D,3/12/2020,3/12/2020,SurveyUSA,A,337,a,.63931836,0,"","",10,72,9.5586541,73.577681,06:40:07  3 Jun 2020,http://www.surveyusa.com/client/PollTrack.aspx?g=41b2a625-ff4d-4ffa-99b2-de9cc09cdd58
Trump,6/3/2020,D,3/11/2020,3/12/2020,Ipsos,B-,149,a,.10407332,0,"","",14,86,14.282499,85.085017,06:40:07  3 Jun 2020,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline-abc-news-coronavirus-031320.pdf
Trump,6/3/2020,D,3/10/2020,3/14/2020,Morning Consult,B/C,754,a,.18163628,0,"","",16,74,14.828756,77.833298,06:40:07  3 Jun 2020,https://morningconsult.com/wp-content/uploads/2020/03/200333_crosstabs_CORONAVIRUS_Adults_v3_JB-2.pdf
Trump,6/3/2020,D,3/11/2020,3/13/2020,NBC News/The Wall Street Journal,A-,395,rv,.78383214,0,"","",13,84,14.079654,82.303985,06:40:07  3 Jun 2020,https://www.documentcloud.org/documents/6810602-200149-NBCWSJ-March-Poll-Final-3-14-20-Release.html
Trump,6/3/2020,D,3/13/2020,3/15/2020,YouGov,B,352,a,.15741336,0,"","",20,75,19.799096,76.530578,06:40:07  3 Jun 2020,https://big.assets.huffingtonpost.com/athena/files/2020/03/17/5e70fe10c5b60fb69ddf0b8d.pdf
Trump,6/3/2020,D,3/13/2020,3/14/2020,Marist College,A+,290.08,rv,.63195376,0,"","",15,83,15.92555,81.503663,06:40:07  3 Jun 2020,http://maristpoll.marist.edu/wp-content/uploads/2020/03/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2003151338.pdf
Trump,6/3/2020,D,3/14/2020,3/15/2020,Harris Insights & Analytics,C,779,a,.29010113,0,"","",26,74,21.379196,76.096326,06:40:07  3 Jun 2020,https://theharrispoll.com/wp-content/uploads/2020/03/Harris-Poll-COVID19-Tabs_Wave-2.pdf
Trump,6/3/2020,D,3/13/2020,3/16/2020,Morning Consult,B/C,761,rv,.17498864,0,"","",10,84,8.8287557,87.833298,06:40:07  3 Jun 2020,https://morningconsult.com/wp-content/uploads/2020/03/200346_crosstabs_POLITICO_RVs_v1_AUTO.pdf
Trump,6/3/2020,D,3/13/2020,3/16/2020,Morning Consult,B/C,761,rv,.17498864,0,"","",18,73,16.828756,76.833298,06:40:07  3 Jun 2020,https://morningconsult.com/wp-content/uploads/2020/03/200346_crosstabs_CORONAVIRUS_TREND_RVs_v3_JB-1.pdf
Trump,6/3/2020,D,3/15/2020,3/17/2020,YouGov,B,511,a,.21899721,0,"","",22,73,21.799096,74.530578,06:40:07  3 Jun 2020,https://docs.cdn.yougov.com/fcdckgt368/econTabReport.pdf
Trump,6/3/2020,D,3/16/2020,3/17/2020,Ipsos,B-,539,a,.32837984,0,"","",21,75,21.282499,74.085017,06:40:07  3 Jun 2020,https://fingfx.thomsonreuters.com/gfx/mkt/13/3563/3524/Topline%20Reuters%20Coronavirus%2003%2017%202020.pdf
Trump,6/3/2020,D,3/17/2020,3/18/2020,Harris Insights & Analytics,C,744,a,.25717669,0,"","",28,72,23.379196,74.096326,06:40:07  3 Jun 2020,https://theharrispoll.com/wp-content/uploads/2020/04/Wave-2-3_tabs_updated-1.pdf
Trump,6/3/2020,D,3/13/2020,3/22/2020,Gallup,B,314,a,.58200551,0,"","",27,72,26.40105,71.670843,06:40:07  3 Jun 2020,https://news.gallup.com/poll/298313/president-trump-job-approval-rating.aspx
Trump,6/3/2020,D,3/16/2020,3/19/2020,American Research Group,B,358,rv,.63839699,0,"","",7,89,9.4805822,88.163228,06:40:07  3 Jun 2020,https://americanresearchgroup.com/economy/
Trump,6/3/2020,D,3/18/2020,3/19/2020,Emerson College,A-,402,rv,.7850902,0,"","",20.8,68,20.643297,69.617916,06:40:07  3 Jun 2020,https://emersonpolling.reportablenews.com/pr/march-national-poll-70-of-americans-worried-about-catching-coronavirus
Trump,6/3/2020,D,3/18/2020,3/19/2020,Ipsos,B-,140,a,.08235611,0,"","",30,69,30.282499,68.085017,06:40:07  3 Jun 2020,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-03/topline-abc-news-coronavirus-032020.pdf
Trump,6/3/2020,D,3/17/2020,3/20/2020,Morning Consult,B/C,725,rv,.16688407,0,"","",26,64,24.828756,67.833298,06:40:07  3 Jun 2020,https://morningconsult.com/wp-content/uploads/2020/03/200371_crosstabs_CORONAVIRUS_TREND_PARTIALS_RVs_v2_JB.pdf
Trump,6/3/2020,D,3/18/2020,3/19/2020,SurveyUSA,A,414,a,.76009605,0,"","",24,68,23.558654,69.577681,06:40:07  3 Jun 2020,http://www.surveyusa.com/client/PollReport.aspx?g=982bb407-60fd-42bc-ac07-080c7af879b2
Trump,6/3/2020,D,3/18/2020,3/22/2020,Monmouth University,A+,282,a,.63864812,0,"","",19,76,19.635737,75.735918,06:40:07  3 Jun 2020,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_032320.pdf/
Trump,6/3/2020,D,3/20/2020,3/22/2020,YouGov,B,340,a,.13153538,0,"","",27,68,26.799096,69.530578,06:40:07  3 Jun 2020,https://big.assets.huffingtonpost.com/athena/files/2020/03/24/5e7a4240c5b63c3b6498205f.pdf
Trump,6/3/2020,D,3/18/2020,3/24/2020,Ipsos,B-,1981,a,1.1255589,0,"","",24,71,24.282499,70.085017,06:40:07  3 Jun 2020,https://fingfx.thomsonreuters.com/gfx/mkt/13/3885/3841/Topline%20Reuters%20Coronavirus%2003%2024%202020.pdf
Trump,6/3/2020,D,3/20/2020,3/22/2020,Morning Consult,B/C,800,a,.18410176,0,"","",25,67,23.828756,70.833298,06:40:07  3 Jun 2020,https://morningconsult.com/wp-content/uploads/2020/03/200383_crosstabs_CORONAVIRUS_CONTENT_Adults_v4_JB.pdf
Trump,6/3/2020,D,3/19/2020,3/22/2020,Rasmussen Reports/Pulse Opinion Research,C+,370,lv,.58485361,0,"","",25,72,23.670928,73.122474,06:40:07  3 Jun 2020,https://www.rasmussenreports.com/platinum/political_tracking_crosstabs/march_2020/crosstabs_trump_response_to_coronavirus_march_19_and_22_2020
Trump,6/3/2020,D,3/19/2020,3/25/2020,UCLA Nationscape,"",2800,a,.49230994,0,"","",34,66,30.740099,69.548278,06:40:07  3 Jun 2020,https://www.voterstudygroup.org/covid-19-updates
Trump,6/3/2020,D,3/21/2020,3/22/2020,Harris Insights & Analytics,C,699,a,.23104531,0,"","",32,68,27.379196,70.096326,06:40:07  3 Jun 2020,https://theharrispoll.com/wp-content/uploads/2020/03/COVID-19-Tracker_Wave-2-4_tabs.pdf
Trump,6/3/2020,D,3/20/2020,3/23/2020,Global Strategy Group/GBAO/Navigator Research,"",108.99,rv,.07432616,0,"",T,24,72,25.046462,71.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.23.20.pdf
Trump,6/3/2020,D,3/21/2020,3/23/2020,YouGov,B,693,a,.26215625,0,"","",22,78,21.799096,79.530578,06:40:07  3 Jun 2020,https://drive.google.com/file/d/1TofJVeuCbZN8cRGBN97kWGqhO6tlQ7VA/view
Trump,6/3/2020,D,3/19/2020,3/24/2020,Pew Research Center,B/C,6474,a,1.7773695,0,"","",18,81,18.845197,79.175424,06:40:07  3 Jun 2020,https://www.people-press.org/wp-content/uploads/sites/4/2020/03/PP_2020.03.26_Coronavirus-Impact_FINAL.pdf
Trump,6/3/2020,D,3/21/2020,3/24/2020,Global Strategy Group/GBAO/Navigator Research,"",106.26,rv,.07003732,0,"",T,23,73,24.046462,72.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.24.20.pdf
Trump,6/3/2020,D,3/22/2020,3/23/2020,Harris Insights & Analytics,C,371,rv,.12290649,0,"","",30,70,25.379196,72.096326,06:40:07  3 Jun 2020,https://thehill.com/hilltv/what-americas-thinking/489920-poll-trumps-approval-on-coronavirus-drops-after-calls-to-reopen
Trump,6/3/2020,D,3/21/2020,3/24/2020,Fox News/Beacon Research/Shaw & Co. Research,A-,495.39,rv,.91593782,0,"","",24,74,23.496904,74.025879,06:40:07  3 Jun 2020,https://www.scribd.com/document/453417322/Fox-News-Poll-March-21-24-2020
Trump,6/3/2020,D,3/22/2020,3/24/2020,YouGov,B,502,a,.18704394,0,"","",21,74,20.799096,75.530578,06:40:07  3 Jun 2020,https://docs.cdn.yougov.com/bfiid7tfh3/econTabReport.pdf
Trump,6/3/2020,D,3/22/2020,3/25/2020,Global Strategy Group/GBAO/Navigator Research,"",105.315,rv,.06695129,0,"",T,18,78,19.046462,77.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.25.20.pdf
Trump,6/3/2020,D,3/22/2020,3/25/2020,ABC News/The Washington Post,A+,305,a,.67537056,0,"","",17,78,15.931724,78.335136,06:40:07  3 Jun 2020,https://www.washingtonpost.com/context/washington-post-abc-news-poll-march-22-25-2020/974c3312-5a40-4764-afb1-4bb6b86f1cf4/
Trump,6/3/2020,D,3/23/2020,3/26/2020,Global Strategy Group/GBAO/Navigator Research,"",105.525,rv,.06499899,0,"",T,17,82,18.046462,81.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.26.20.pdf
Trump,6/3/2020,D,3/24/2020,3/26/2020,Morning Consult,B/C,782,a,.18640149,0,"","",22,72,20.828756,75.833298,06:40:07  3 Jun 2020,https://morningconsult.com/wp-content/uploads/2020/03/200394_crosstabs_CORONAVIRUS_CONTENT_Adults_v4_JB.pdf
Trump,6/3/2020,D,3/24/2020,3/25/2020,SurveyUSA,A,371,a,.68440824,0,"","",22,76,21.558654,77.577681,06:40:07  3 Jun 2020,http://www.surveyusa.com/client/PollReport.aspx?g=a6354d34-2350-49a3-b360-8772ca176a2d
Trump,6/3/2020,D,3/24/2020,3/26/2020,Harris Insights & Analytics,C,903,rv,.30511297,0,*,"",21,79,16.379196,81.096326,06:40:07  3 Jun 2020,https://harvardharrispoll.com/wp-content/uploads/2020/03/HHP_March2020_RegisteredVoters_Crosstabs.pdf
Trump,6/3/2020,D,3/23/2020,3/26/2020,McLaughlin & Associates,C/D,360,lv,.45265421,0,"","",25,72,24.485839,72.251752,06:40:07  3 Jun 2020,https://mclaughlinonline.com/pols/wp-content/uploads/2020/03/National-Monthly-Omnibus-MARCH-PUBLIC.pdf
Trump,6/3/2020,D,3/24/2020,3/27/2020,Global Strategy Group/GBAO/Navigator Research,"",107.31,rv,.06440755,0,"",T,16,81,17.046462,80.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.27.20.pdf
Trump,6/3/2020,D,3/25/2020,3/26/2020,YouGov,B,565,a,.20263672,0,"","",17,79,16.799096,80.530578,06:40:07  3 Jun 2020,https://docs.cdn.yougov.com/69501vybsd/20200326_yahoo_coronavirus_crosstabs.pdf
Trump,6/3/2020,D,3/26/2020,3/27/2020,Harris Insights & Analytics,C,351,rv,.12527485,0,"","",29,71,24.379196,73.096326,06:40:07  3 Jun 2020,https://thehill.com/hilltv/what-americas-thinking/489920-poll-trumps-approval-on-coronavirus-drops-after-calls-to-reopen
Trump,6/3/2020,D,3/25/2020,3/30/2020,Global Strategy Group/GBAO/Navigator Research,"",71.19,rv,.04081606,0,"",T,19,79,20.046462,78.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/03/Navigator-Daily-Tracker-Topline-F03.30.20.pdf
Trump,6/3/2020,D,3/26/2020,3/29/2020,AP-NORC,"",486.22,a,.80349017,0,"","",14,86,15.673415,83.110203,06:40:07  3 Jun 2020,http://www.apnorc.org/PDFs/March%20Omnibus%202020/topline_gov.pdf
Trump,6/3/2020,D,3/26/2020,3/29/2020,Change Research,C-,443,lv,.54570975,0,"","",19,81,20.565558,78.479379,06:40:07  3 Jun 2020,https://drive.google.com/file/d/1yFA1QCCOFNkt__W9Zog3MaRMj8RJCw_1/view
Trump,6/3/2020,D,3/25/2020,3/30/2020,Kaiser Family Foundation,"",364,a,.73160855,0,"","",21,77,20.284771,77.321543,06:40:07  3 Jun 2020,https://www.kff.org/wp-content/uploads/2020/04/Kaiser-Health-Tracking-Poll_Early-April_Full-Topline_FINAL.pdf
Trump,6/3/2020,D,3/26/2020,3/29/2020,Research America Inc.,B/C,132,a,.25199363,0,"","",22,,21.576724,,06:40:07  3 Jun 2020,https://projects.fivethirtyeight.com/polls/20200407_National_ResearchAmerica_coronavirus.pdf
Trump,6/3/2020,D,3/25/2020,3/30/2020,YouGov,B,765,a,.26772236,0,"","",18,83,17.799096,84.530578,06:40:07  3 Jun 2020,https://www.moreincommon.com/media/z4fdmdpa/hidden-tribes_covid-19-polarization-and-the-pandemic-4-3-20.pdf
Trump,6/3/2020,D,3/27/2020,3/29/2020,Morning Consult,B/C,827,a,.20476825,0,"","",22,69,20.828756,72.833298,06:40:07  3 Jun 2020,https://morningconsult.com/wp-content/uploads/2020/03/2003102_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
Trump,6/3/2020,D,3/27/2020,3/31/2020,YouGov,B,378,a,.13129627,0,"","",24,75,23.799096,76.530578,06:40:07  3 Jun 2020,https://big.assets.huffingtonpost.com/athena/files/2020/04/02/5e861523c5b6a9491832d32d.pdf
Trump,6/3/2020,D,3/27/2020,3/30/2020,Selzer & Co.,A+,396,a,.88272808,0,"","",24,72,22.718837,73.486025,06:40:07  3 Jun 2020,https://www.grinnell.edu/sites/default/files/docs/2020-03/GCNP%20April%202020%20Toplines%20and%20Methodology.pdf
Trump,6/3/2020,D,3/26/2020,3/31/2020,Global Strategy Group/GBAO/Navigator Research,"",71.19,rv,.03986332,0,"",T,18,78,19.046462,77.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/04/Navigator-Daily-Tracker-Topline-F03.31.20.pdf
Trump,6/3/2020,D,3/26/2020,4/1/2020,UCLA Nationscape,"",2800,a,.38869868,0,"","",25,74,21.740099,77.548278,06:40:07  3 Jun 2020,https://www.voterstudygroup.org/covid-19-updates
Trump,6/3/2020,D,3/28/2020,3/30/2020,Civiqs,B/C,496.65,a,.56559872,0,"","",8,87,11.626225,83.403529,06:40:07  3 Jun 2020,https://civiqs.com/documents/Civiqs_DailyKos_monthly_banner_book_2020_03B_x2nf9sb.pdf
Trump,6/3/2020,D,3/27/2020,4/1/2020,Global Strategy Group/GBAO/Navigator Research,"",212.1,rv,.11630645,0,"",T,17,80,18.046462,79.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/04/Navigator-Daily-Tracker-Topline-F04.01.20.pdf
Trump,6/3/2020,D,3/29/2020,3/31/2020,YouGov,B,540,a,.18699826,0,"","",22,72,21.799096,73.530578,06:40:07  3 Jun 2020,https://docs.cdn.yougov.com/p8nwhxp50n/econTabReport.pdf
Trump,6/3/2020,D,3/31/2020,4/1/2020,YouGov,B,708,a,.24619333,0,"","",18,83,17.799096,84.530578,06:40:07  3 Jun 2020,https://drive.google.com/file/d/1bgUZsCC8uuAtPUlEgfFySkFuKl-oYjDK/view
Trump,6/3/2020,D,3/30/2020,4/2/2020,Global Strategy Group/GBAO/Navigator Research,"",105.84,rv,.05638729,0,"",T,16,81,17.046462,80.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/04/Navigator-Daily-Tracker-Topline-F04.02.20.pdf
Trump,6/3/2020,D,3/31/2020,4/1/2020,Morning Consult,B/C,825,a,.2191331,0,"","",20,75,18.828756,78.833298,06:40:07  3 Jun 2020,https://morningconsult.com/wp-content/uploads/2020/04/2003128_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
Trump,6/3/2020,D,4/1/2020,4/2/2020,Ipsos,B-,163,a,.13630836,0,"","",9,91,9.2824995,90.085017,06:40:07  3 Jun 2020,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-04/topline-abc-coronavirus-trend-wave-3.pdf
Trump,6/3/2020,D,3/31/2020,4/3/2020,Global Strategy Group/GBAO/Navigator Research,"",104.685,rv,.05513427,0,"",T,18,79,19.046462,78.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/04/Navigator-Daily-Tracker-Topline-F04.03.20.pdf
Trump,6/3/2020,D,4/2/2020,4/3/2020,Harris Insights & Analytics,C,345,rv,.1428565,0,"","",26,74,21.379196,76.096326,06:40:07  3 Jun 2020,https://thehill.com/hilltv/491533-poll-voters-split-on-trumps-handling-of-coronavirus-pandemic
Trump,6/3/2020,D,4/3/2020,4/4/2020,YouGov,B,353,a,.12440502,0,"","",21,73,20.799096,74.530578,06:40:07  3 Jun 2020,https://big.assets.huffingtonpost.com/athena/files/2020/04/07/5e8cfcd3c5b62459a9308880.pdf
Trump,6/3/2020,D,4/3/2020,4/5/2020,Garin-Hart-Yang Research Group,B/C,431.29,rv,.71143941,0,"","",,79,,79.144239,06:40:07  3 Jun 2020,https://cdn.americanprogressaction.org/content/uploads/sites/2/2020/04/13082915/FI12875-National-States-11.pdf
Trump,6/3/2020,D,4/2/2020,4/6/2020,Quinnipiac University,B+,706.18,rv,1.1617895,0,"","",12,86,14.268665,83.536996,06:40:07  3 Jun 2020,https://poll.qu.edu/national/release-detail?ReleaseID=3658
Trump,6/3/2020,D,4/3/2020,4/5/2020,Morning Consult,B/C,823,a,.23055673,0,"","",20,75,18.828756,78.833298,06:40:07  3 Jun 2020,https://morningconsult.com/wp-content/uploads/2020/04/200409_crosstabs_CORONAVIRUS_CONTENT_Adults_v4_JB.pdf
Trump,6/3/2020,D,4/1/2020,4/6/2020,Global Strategy Group/GBAO/Navigator Research,"",70.21,rv,.03629757,0,"",T,18,78,19.046462,77.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/04/Navigator-Daily-Tracker-Topline-F04.06.20.pdf
Trump,6/3/2020,D,4/3/2020,4/6/2020,SSRS,B/C,350.7,a,.52504942,0,"","",14,85,15.504978,82.885167,06:40:07  3 Jun 2020,https://cdn.cnn.com/cnn/2020/images/04/08/rel4a.-.coronavirus.pdf
Trump,6/3/2020,D,4/2/2020,4/8/2020,UCLA Nationscape,"",2800,a,.35342952,0,"","",20,74,16.740099,77.548278,06:40:07  3 Jun 2020,https://www.voterstudygroup.org/covid-19-updates
Trump,6/3/2020,D,4/2/2020,4/7/2020,Global Strategy Group/GBAO/Navigator Research,"",70.49,rv,.0360635,0,"",T,19,77,20.046462,76.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/04/Navigator-Daily-Tracker-Topline-F04.07.20.pdf
Trump,6/3/2020,D,4/3/2020,4/7/2020,Monmouth University,A+,308,a,.69629902,0,"","",16,79,16.635737,78.735918,06:40:07  3 Jun 2020,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_040820.pdf/
Trump,6/3/2020,D,4/5/2020,4/7/2020,YouGov,B,562,a,.1988089,0,"","",18,76,17.799096,77.530578,06:40:07  3 Jun 2020,https://docs.cdn.yougov.com/ogvntw3mu9/econTabReport.pdf
Trump,6/3/2020,D,4/4/2020,4/7/2020,Fox News/Beacon Research/Shaw & Co. Research,A-,487.08,rv,.89903142,0,"","",17,81,16.496904,81.025879,06:40:07  3 Jun 2020,https://www.scribd.com/document/455760294/Fox-News-Poll-April-4-7-2020
Trump,6/3/2020,D,4/3/2020,4/8/2020,Global Strategy Group/GBAO/Navigator Research,"",143.08,rv,.0726273,0,"",T,21,75,22.046462,74.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/04/Navigator-Daily-Tracker-Topline-F04.08.20.pdf
Trump,6/3/2020,D,4/5/2020,4/9/2020,Global Strategy Group/GBAO/Navigator Research,"",171.024,rv,.08646368,0,"",T,18,79,19.046462,78.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/04/Navigator-Daily-Tracker-Topline-F04.09.20.pdf
Trump,6/3/2020,D,4/6/2020,4/7/2020,SurveyUSA,A,384,a,.74776375,0,"","",20,79,19.558654,80.577681,06:40:07  3 Jun 2020,http://www.surveyusa.com/client/PollReport.aspx?g=f0224955-d73f-4868-a4ca-7880f4b0798d
Trump,6/3/2020,D,4/6/2020,4/7/2020,YouGov,B,544,a,.19357686,0,"","",11,83,10.799096,84.530578,06:40:07  3 Jun 2020,https://docs.cdn.yougov.com/1ayt0i64g6/20200408_yahoo_coronavirus.pdf
Trump,6/3/2020,D,4/7/2020,4/9/2020,YouGov,B,696,a,.25007498,0,"","",15,85,14.799096,86.530578,06:40:07  3 Jun 2020,https://drive.google.com/file/d/1Hgp-3ol9cEvQXjuoaRrMJf1rlJWJSZRO/view
Trump,6/3/2020,D,4/7/2020,4/10/2020,Global Strategy Group/GBAO/Navigator Research,"",105.525,rv,.0530045,0,"",T,18,80,19.046462,79.035263,06:40:07  3 Jun 2020,https://navigatorresearch.org/wp-content/uploads/2020/04/Navigator-Daily-Tracker-Topline-F04.10.20.pdf
Trump,6/3/2020,D,4/8/2020,4/9/2020,Ipsos,B-,153,a,.14849205,0,"","",10,90,10.282499,89.085017,06:40:07  3 Jun 2020,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-04/topline-abc-coronavirus-041020_.pdf
Trump,6/3/2020,D,4/6/2020,4/12/2020,SurveyMonkey,D-,2259,a,.59556038,0,"","",22,78,20.926488,77.369585,06:40:07  3 Jun 2020,https://www.surveymonkey.com/curiosity/nyt-april-2020-cci/
Trump,6/3/2020,D,4/8/2020,4/11/2020,TargetSmart,"",441,rv,.6383149,0,"","",17,81,16.345998,81.516959,06:40:07  3 Jun 2020,https://insights.targetsmart.com/Analysis/covid_national_survey_april_2020/covid_toplines.pdf
